id,name,type,study,promotion
Adolf_Hitler,Hitler,0,0,0
Aggregat_2,Aggregat_2,3,99,99
Albert_Speer,Speer,0,1,0
Albertus_Universitaet_Koenigsberg,AU_Koenigsberg,1,99,99
Apollo_Programm,Apollo,3,99,99
Army_Ballistic_Missile_Agency,ABMA,1,99,99
Arthur_Rudolph,Rudolph,0,1,0
Bell_Air_Craft_Corporation,BACC,1,99,99
Berlin,Berlin,2,99,99
Bernhard_Tessmann,Tessmann,0,1,0
Borkum,Borkum,2,99,99
Breslau,Breslau,2,99,99
Budapest,Budapest,2,99,99
Buffalo,Buffalo,2,99,99
Burschenschaft_Markommannia,BMM,1,99,99
Cape_Canaveral,Cape_Canaveral,2,99,99
Convair,Convair,1,99,99
Darmstadt,Darmstadt,2,99,99
Dieter_Huzel,Huzel,0,1,0
Dyna_Soar,Dyna_Soar,3,99,99
Ebensee,Ebensee,2,99,99
Eberhard_Karls_Universitaet_Tuebingen,EKU_Tuebingen,1,99,99
Eidgenoessische_Hochschule_Zuerich,ETH_Zuerich,1,99,99
Erich_Warsitz,Warsitz,0,0,0
Ernst_Heinkel,Heinkel,0,1,0
Ernst_Stuhlinger,Stuhlinger,0,1,1
Firma_Hatlapa,Hatlapa,1,99,99
Firma_Heylandt,Heylandt,1,99,99
Fort_Bliss,Fort_Bliss,2,99,99
Friedrich_Wilhelm_Universitaet,FW_Uni,1,99,99
Fuehrerhauptquartier_Wolfsschanze,Wolfsschanze,2,99,99
Future_Launch_Systems_Study_Office,FLSSO,1,99,99
Gefangenschaft,Gefangenschaft,1,99,99
Gemini,Gemini,3,99,99
Georg_August_Universitaet_Goettingen,GAU_Goettingen,1,99,99
Georg_von_Tiesenhausen,Tiesenhausen,0,1,1
Gesellschaft_fuer_Raketenforschung,GfR,1,99,99
Gestapo,Gestapo,1,99,99
Goettingen,Goettingen,2,99,99
Hamburg,Hamburg,2,99,99
Hannover,Hannover,2,99,99
Heeresversuchsanstalt,HVA,1,99,99
Heereswaffenamt,HWA,1,99,99
Heinkel_He_112,HH112,3,99,99
Heinrich_Himmler,Himmler,0,1,0
Hermann_Oberth,Oberth,0,1,0
Houston,Houston,2,99,99
Huntsville,Huntsville,2,99,99
Ingenieurschule_Hamburg,Ingenieurschule_Hamburg,1,99,99
John_F_Kennedy,Kennedy,0,1,0
Jueterbog,Jueterbog,2,99,99
Jupiter,Jupiter,3,99,99
Klaus_Riedel,K_Riedel,0,1,0
Klausenburg,Klausenburg,2,99,99
Koelpinsee,Koelpinsee,2,99,99
Koenigsberg,Koenigsberg,2,99,99
Konrad_Dannenberg,Dannenberg,0,1,0
Kummersdorf,Kummersdorf,2,99,99
Kurt_Debus,Debus,0,1,1
Los_Angeles,Los_Angeles,2,99,99
Ludwig_Maximilians_Universitaet_Muenchen,LMU_Muenchen,1,99,99
Luftwaffe,Luftwaffe,1,99,99
Lyndon_B_Johnson_Space_Center,JSC,1,99,99
Marshall_Space_Flight_Center,MSFC,1,99,99
Mercury,Mercury,3,99,99
Mittelbau_Dora,Mittelbau_Dora,2,99,99
Mittelwerk_GmbH,Mittelwerk_GmbH,1,99,99
National_Aeronautics_and_Space_Administration,NASA,1,99,99
Nationaldemokratische_Partei_Deutschland,NPD,1,99,99
Nationalsozialistische_Deutsche_Arbeiterpartei,NSDAP,1,99,99
Neuhardenberg,Neuhardenberg,2,99,99
North_American_Aviation,NAA,1,99,99
Operation_Backfire,Operation_Backfire,1,99,99
Peenemuende,Peenemuende,2,99,99
Pruefstand_VII,Pruefstand_VII,3,99,99
Redstone,Redstone,3,99,99
Reichsruestungsministerium,RRM,1,99,99
Reinsdorf,Reinsdorf,2,99,99
Rudolf_Nebel,Nebel,0,1,0
Ruprecht_Karls_Universitaet_Heidelberg,RKU_Heidelberg,1,99,99
San_Diego,San_Diego,2,99,99
Saturn_V,Saturn_V,3,99,99
Schutzstaffel,SS,1,99,99
Sturmabteilung,SA,1,99,99
Technische_Hochschule_Berlin,TH_Berlin,1,99,99
Technische_Hochschule_Charlottenburg,TH_Charlottenburg,1,99,99
Technische_Hochschule_Hannover,TH_Hannover,1,99,99
Technische_Hochschule_Stuttgart,TH_Stuttgart,1,99,99
Technische_Universitaet_Berlin,TU_Berlin,1,99,99
Technische_Universitaet_Klausenburg,TU_Klausenburg,1,99,99
Technische_Universitaet_Muenchen,TU_Muenchen,1,99,99
Test_Stand_12,Test_Stand_12,1,99,99
Tuebingen,Tuebingen,2,99,99
Uetersen,Uetersen,2,99,99
Universitaet_Budapest,Uni_Budapest,1,99,99
US_Army,US_Army,1,99,99
V2,V2,3,99,99
Verein_fuer_Raumschifffahrt,VfR,1,99,99
Walt_Disney,Disney,0,0,0
Walter_Dornberger,Dornberger,0,1,0
Walter_Riedel,W_Riedel,0,0,0
Wernher_von_Braun,Braun,0,1,1
White_Sands_Missile_Range,WSMR,2,99,99
Wright_Field,Wright_Field,2,99,99
Zuerich,Zuerich,2,99,99